
U(x, u) = x^2 + u^2

+-------+------------+-------------+---------------+-------------+
|   x   |   Пикар    | Явный Эйлер | Неявный Эйлер | Рунге-Кутта |
+-------+------------+-------------+---------------+-------------+
| 0.000 | 0.0000e+00 |  0.0000e+00 |   0.0000e+00  |  0.0000e+00 |
| 0.001 | 4.1667e-11 |  0.0000e+00 |   0.0000e+00  |  6.2500e-11 |
| 0.001 | 3.3333e-10 |  1.2500e-10 |   1.2501e-10  |  3.7500e-10 |
| 0.002 | 1.1250e-09 |  6.2500e-10 |   6.2506e-10  |  1.1875e-09 |
| 0.002 | 2.6667e-09 |  1.7500e-09 |   1.7500e-09  |  2.7500e-09 |
| 0.003 | 5.2083e-09 |  3.7500e-09 |   3.7501e-09  |  5.3125e-09 |
| 0.003 | 9.0000e-09 |  6.8750e-09 |   6.8752e-09  |  9.1250e-09 |
| 0.004 | 1.4292e-08 |  1.1375e-08 |   1.1375e-08  |  1.4438e-08 |
| 0.004 | 2.1333e-08 |  1.7500e-08 |   1.7500e-08  |  2.1500e-08 |
| 0.005 | 3.0375e-08 |  2.5500e-08 |   2.5500e-08  |  3.0563e-08 |
| 0.005 | 4.1667e-08 |  3.5625e-08 |   3.5625e-08  |  4.1875e-08 |
| 0.005 | 5.5458e-08 |  4.8125e-08 |   4.8125e-08  |  5.5688e-08 |
| 0.006 | 7.2000e-08 |  6.3250e-08 |   6.3250e-08  |  7.2250e-08 |
| 0.007 | 9.1542e-08 |  8.1250e-08 |   8.1250e-08  |  9.1813e-08 |
| 0.007 | 1.1433e-07 |  1.0238e-07 |   1.0238e-07  |  1.1463e-07 |
| 0.007 | 1.4063e-07 |  1.2688e-07 |   1.2688e-07  |  1.4094e-07 |
| 0.008 | 1.7067e-07 |  1.5500e-07 |   1.5500e-07  |  1.7100e-07 |
| 0.009 | 2.0471e-07 |  1.8700e-07 |   1.8700e-07  |  2.0506e-07 |
| 0.009 | 2.4300e-07 |  2.2313e-07 |   2.2313e-07  |  2.4338e-07 |
| 0.010 | 2.8579e-07 |  2.6363e-07 |   2.6363e-07  |  2.8619e-07 |
| 0.010 | 3.3333e-07 |  3.0875e-07 |   3.0875e-07  |  3.3375e-07 |
| 0.011 | 3.8588e-07 |  3.5875e-07 |   3.5875e-07  |  3.8631e-07 |
| 0.011 | 4.4367e-07 |  4.1388e-07 |   4.1388e-07  |  4.4413e-07 |
| 0.011 | 5.0696e-07 |  4.7438e-07 |   4.7438e-07  |  5.0744e-07 |
| 0.012 | 5.7600e-07 |  5.4050e-07 |   5.4050e-07  |  5.7650e-07 |
| 0.013 | 6.5104e-07 |  6.1250e-07 |   6.1250e-07  |  6.5156e-07 |
| 0.013 | 7.3233e-07 |  6.9063e-07 |   6.9063e-07  |  7.3288e-07 |
| 0.014 | 8.2013e-07 |  7.7513e-07 |   7.7513e-07  |  8.2069e-07 |
| 0.014 | 9.1467e-07 |  8.6625e-07 |   8.6625e-07  |  9.1525e-07 |
| 0.015 | 1.0162e-06 |  9.6425e-07 |   9.6425e-07  |  1.0168e-06 |
| 0.015 | 1.1250e-06 |  1.0694e-06 |   1.0694e-06  |  1.1256e-06 |
| 0.015 | 1.2413e-06 |  1.1819e-06 |   1.1819e-06  |  1.2419e-06 |
| 0.016 | 1.3653e-06 |  1.3020e-06 |   1.3020e-06  |  1.3660e-06 |
| 0.017 | 1.4974e-06 |  1.4300e-06 |   1.4300e-06  |  1.4981e-06 |
| 0.017 | 1.6377e-06 |  1.5661e-06 |   1.5661e-06  |  1.6384e-06 |
| 0.018 | 1.7865e-06 |  1.7106e-06 |   1.7106e-06  |  1.7872e-06 |
| 0.018 | 1.9440e-06 |  1.8638e-06 |   1.8638e-06  |  1.9448e-06 |
| 0.019 | 2.1105e-06 |  2.0258e-06 |   2.0258e-06  |  2.1113e-06 |
| 0.019 | 2.2863e-06 |  2.1969e-06 |   2.1969e-06  |  2.2871e-06 |
| 0.019 | 2.4716e-06 |  2.3774e-06 |   2.3774e-06  |  2.4724e-06 |
| 0.020 | 2.6667e-06 |  2.5675e-06 |   2.5675e-06  |  2.6675e-06 |
| 0.021 | 2.8717e-06 |  2.7675e-06 |   2.7675e-06  |  2.8726e-06 |
| 0.021 | 3.0870e-06 |  2.9776e-06 |   2.9776e-06  |  3.0879e-06 |
| 0.022 | 3.3128e-06 |  3.1981e-06 |   3.1981e-06  |  3.3137e-06 |
| 0.022 | 3.5493e-06 |  3.4293e-06 |   3.4293e-06  |  3.5503e-06 |
| 0.022 | 3.7969e-06 |  3.6713e-06 |   3.6713e-06  |  3.7978e-06 |
| 0.023 | 4.0557e-06 |  3.9244e-06 |   3.9244e-06  |  4.0566e-06 |
| 0.024 | 4.3260e-06 |  4.1889e-06 |   4.1889e-06  |  4.3269e-06 |
| 0.024 | 4.6080e-06 |  4.4650e-06 |   4.4650e-06  |  4.6090e-06 |
| 0.025 | 4.9020e-06 |  4.7530e-06 |   4.7530e-06  |  4.9031e-06 |
| 0.025 | 5.2083e-06 |  5.0531e-06 |   5.0531e-06  |  5.2094e-06 |
| 0.026 | 5.5271e-06 |  5.3656e-06 |   5.3656e-06  |  5.5282e-06 |
| 0.026 | 5.8587e-06 |  5.6908e-06 |   5.6908e-06  |  5.8598e-06 |
| 0.027 | 6.2032e-06 |  6.0288e-06 |   6.0288e-06  |  6.2043e-06 |
| 0.027 | 6.5610e-06 |  6.3799e-06 |   6.3799e-06  |  6.5621e-06 |
| 0.028 | 6.9323e-06 |  6.7444e-06 |   6.7444e-06  |  6.9334e-06 |
| 0.028 | 7.3173e-06 |  7.1225e-06 |   7.1225e-06  |  7.3185e-06 |
| 0.029 | 7.7164e-06 |  7.5145e-06 |   7.5145e-06  |  7.7176e-06 |
| 0.029 | 8.1297e-06 |  7.9206e-06 |   7.9206e-06  |  8.1309e-06 |
| 0.030 | 8.5575e-06 |  8.3411e-06 |   8.3411e-06  |  8.5587e-06 |
| 0.030 | 9.0000e-06 |  8.7763e-06 |   8.7763e-06  |  9.0013e-06 |
| 0.030 | 9.4575e-06 |  9.2263e-06 |   9.2263e-06  |  9.4588e-06 |
| 0.031 | 9.9303e-06 |  9.6914e-06 |   9.6914e-06  |  9.9316e-06 |
| 0.032 | 1.0419e-05 |  1.0172e-05 |   1.0172e-05  |  1.0420e-05 |
| 0.032 | 1.0923e-05 |  1.0668e-05 |   1.0668e-05  |  1.0924e-05 |
| 0.033 | 1.1443e-05 |  1.1180e-05 |   1.1180e-05  |  1.1444e-05 |
| 0.033 | 1.1979e-05 |  1.1708e-05 |   1.1708e-05  |  1.1980e-05 |
| 0.034 | 1.2532e-05 |  1.2253e-05 |   1.2253e-05  |  1.2533e-05 |
| 0.034 | 1.3101e-05 |  1.2814e-05 |   1.2814e-05  |  1.3103e-05 |
| 0.035 | 1.3688e-05 |  1.3392e-05 |   1.3392e-05  |  1.3689e-05 |
| 0.035 | 1.4292e-05 |  1.3987e-05 |   1.3987e-05  |  1.4293e-05 |
| 0.036 | 1.4913e-05 |  1.4599e-05 |   1.4599e-05  |  1.4914e-05 |
| 0.036 | 1.5552e-05 |  1.5230e-05 |   1.5230e-05  |  1.5554e-05 |
| 0.037 | 1.6209e-05 |  1.5878e-05 |   1.5878e-05  |  1.6211e-05 |
| 0.037 | 1.6884e-05 |  1.6544e-05 |   1.6544e-05  |  1.6886e-05 |
| 0.037 | 1.7578e-05 |  1.7228e-05 |   1.7228e-05  |  1.7580e-05 |
| 0.038 | 1.8291e-05 |  1.7931e-05 |   1.7931e-05  |  1.8292e-05 |
| 0.038 | 1.9022e-05 |  1.8653e-05 |   1.8653e-05  |  1.9024e-05 |
| 0.039 | 1.9773e-05 |  1.9394e-05 |   1.9394e-05  |  1.9775e-05 |
| 0.040 | 2.0543e-05 |  2.0155e-05 |   2.0155e-05  |  2.0545e-05 |
| 0.040 | 2.1333e-05 |  2.0935e-05 |   2.0935e-05  |  2.1335e-05 |
| 0.041 | 2.2143e-05 |  2.1735e-05 |   2.1735e-05  |  2.2145e-05 |
| 0.041 | 2.2974e-05 |  2.2555e-05 |   2.2555e-05  |  2.2975e-05 |
| 0.042 | 2.3824e-05 |  2.3396e-05 |   2.3396e-05  |  2.3826e-05 |
| 0.042 | 2.4696e-05 |  2.4257e-05 |   2.4257e-05  |  2.4698e-05 |
| 0.043 | 2.5589e-05 |  2.5139e-05 |   2.5139e-05  |  2.5590e-05 |
| 0.043 | 2.6502e-05 |  2.6042e-05 |   2.6042e-05  |  2.6504e-05 |
| 0.044 | 2.7438e-05 |  2.6966e-05 |   2.6966e-05  |  2.7439e-05 |
| 0.044 | 2.8395e-05 |  2.7913e-05 |   2.7913e-05  |  2.8397e-05 |
| 0.044 | 2.9374e-05 |  2.8881e-05 |   2.8881e-05  |  2.9376e-05 |
| 0.045 | 3.0375e-05 |  2.9871e-05 |   2.9871e-05  |  3.0377e-05 |
| 0.045 | 3.1399e-05 |  3.0883e-05 |   3.0883e-05  |  3.1401e-05 |
| 0.046 | 3.2445e-05 |  3.1918e-05 |   3.1918e-05  |  3.2447e-05 |
| 0.046 | 3.3515e-05 |  3.2976e-05 |   3.2976e-05  |  3.3517e-05 |
| 0.047 | 3.4608e-05 |  3.4057e-05 |   3.4057e-05  |  3.4610e-05 |
| 0.048 | 3.5724e-05 |  3.5162e-05 |   3.5162e-05  |  3.5726e-05 |
| 0.048 | 3.6864e-05 |  3.6290e-05 |   3.6290e-05  |  3.6866e-05 |
| 0.049 | 3.8028e-05 |  3.7442e-05 |   3.7442e-05  |  3.8030e-05 |
| 0.049 | 3.9216e-05 |  3.8618e-05 |   3.8618e-05  |  3.9218e-05 |
| 0.050 | 4.0429e-05 |  3.9819e-05 |   3.9819e-05  |  4.0431e-05 |
| 0.050 | 4.1667e-05 |  4.1044e-05 |   4.1044e-05  |  4.1669e-05 |
| 0.051 | 4.2929e-05 |  4.2294e-05 |   4.2294e-05  |  4.2931e-05 |
| 0.051 | 4.4217e-05 |  4.3569e-05 |   4.3569e-05  |  4.4219e-05 |
| 0.052 | 4.5530e-05 |  4.4869e-05 |   4.4869e-05  |  4.5532e-05 |
| 0.052 | 4.6869e-05 |  4.6196e-05 |   4.6196e-05  |  4.6872e-05 |
| 0.053 | 4.8234e-05 |  4.7548e-05 |   4.7548e-05  |  4.8237e-05 |
| 0.053 | 4.9626e-05 |  4.8926e-05 |   4.8926e-05  |  4.9628e-05 |
| 0.053 | 5.1043e-05 |  5.0330e-05 |   5.0330e-05  |  5.1046e-05 |
| 0.054 | 5.2488e-05 |  5.1761e-05 |   5.1761e-05  |  5.2490e-05 |
| 0.054 | 5.3960e-05 |  5.3219e-05 |   5.3219e-05  |  5.3962e-05 |
| 0.055 | 5.5458e-05 |  5.4704e-05 |   5.4704e-05  |  5.5461e-05 |
| 0.056 | 5.6985e-05 |  5.6217e-05 |   5.6217e-05  |  5.6987e-05 |
| 0.056 | 5.8539e-05 |  5.7757e-05 |   5.7757e-05  |  5.8541e-05 |
| 0.057 | 6.0121e-05 |  5.9325e-05 |   5.9325e-05  |  6.0123e-05 |
| 0.057 | 6.1731e-05 |  6.0921e-05 |   6.0921e-05  |  6.1733e-05 |
| 0.058 | 6.3370e-05 |  6.2546e-05 |   6.2546e-05  |  6.3372e-05 |
| 0.058 | 6.5037e-05 |  6.4199e-05 |   6.4199e-05  |  6.5040e-05 |
| 0.059 | 6.6734e-05 |  6.5881e-05 |   6.5881e-05  |  6.6736e-05 |
| 0.059 | 6.8460e-05 |  6.7592e-05 |   6.7592e-05  |  6.8462e-05 |
| 0.060 | 7.0215e-05 |  6.9332e-05 |   6.9332e-05  |  7.0217e-05 |
| 0.060 | 7.2000e-05 |  7.1103e-05 |   7.1103e-05  |  7.2003e-05 |
| 0.060 | 7.3815e-05 |  7.2903e-05 |   7.2903e-05  |  7.3818e-05 |
| 0.061 | 7.5660e-05 |  7.4733e-05 |   7.4733e-05  |  7.5663e-05 |
| 0.061 | 7.7536e-05 |  7.6593e-05 |   7.6593e-05  |  7.7539e-05 |
| 0.062 | 7.9443e-05 |  7.8484e-05 |   7.8484e-05  |  7.9445e-05 |
| 0.062 | 8.1380e-05 |  8.0406e-05 |   8.0406e-05  |  8.1383e-05 |
| 0.063 | 8.3349e-05 |  8.2359e-05 |   8.2359e-05  |  8.3352e-05 |
| 0.064 | 8.5349e-05 |  8.4344e-05 |   8.4344e-05  |  8.5352e-05 |
| 0.064 | 8.7381e-05 |  8.6360e-05 |   8.6360e-05  |  8.7384e-05 |
| 0.065 | 8.9445e-05 |  8.8408e-05 |   8.8408e-05  |  8.9448e-05 |
| 0.065 | 9.1542e-05 |  9.0488e-05 |   9.0488e-05  |  9.1544e-05 |
| 0.066 | 9.3671e-05 |  9.2601e-05 |   9.2601e-05  |  9.3673e-05 |
| 0.066 | 9.5832e-05 |  9.4746e-05 |   9.4746e-05  |  9.5835e-05 |
| 0.067 | 9.8027e-05 |  9.6924e-05 |   9.6924e-05  |  9.8029e-05 |
| 0.067 | 1.0025e-04 |  9.9135e-05 |   9.9135e-05  |  1.0026e-04 |
| 0.068 | 1.0252e-04 |  1.0138e-04 |   1.0138e-04  |  1.0252e-04 |
| 0.068 | 1.0481e-04 |  1.0366e-04 |   1.0366e-04  |  1.0481e-04 |
| 0.069 | 1.0714e-04 |  1.0597e-04 |   1.0597e-04  |  1.0714e-04 |
| 0.069 | 1.0950e-04 |  1.0832e-04 |   1.0832e-04  |  1.0951e-04 |
| 0.070 | 1.1190e-04 |  1.1070e-04 |   1.1070e-04  |  1.1190e-04 |
| 0.070 | 1.1433e-04 |  1.1311e-04 |   1.1311e-04  |  1.1434e-04 |
| 0.071 | 1.1680e-04 |  1.1556e-04 |   1.1556e-04  |  1.1680e-04 |
| 0.071 | 1.1930e-04 |  1.1805e-04 |   1.1805e-04  |  1.1931e-04 |
| 0.072 | 1.2184e-04 |  1.2057e-04 |   1.2057e-04  |  1.2185e-04 |
| 0.072 | 1.2442e-04 |  1.2312e-04 |   1.2312e-04  |  1.2442e-04 |
| 0.073 | 1.2703e-04 |  1.2572e-04 |   1.2572e-04  |  1.2703e-04 |
| 0.073 | 1.2967e-04 |  1.2834e-04 |   1.2834e-04  |  1.2968e-04 |
| 0.073 | 1.3236e-04 |  1.3101e-04 |   1.3101e-04  |  1.3236e-04 |
