
U(x, u) = x^2 + u^2

+-------+------------+-------------+---------------+-------------+
|   x   |   Пикар    | Явный Эйлер | Неявный Эйлер | Рунге-Кутта |
+-------+------------+-------------+---------------+-------------+
| 0.000 | 0.0000e+00 |  0.0000e+00 |   0.0000e+00  |  0.0000e+00 |
| 0.000 | 3.3333e-13 |  0.0000e+00 |   0.0000e+00  |  5.0000e-13 |
| 0.000 | 2.6667e-12 |  1.0000e-12 |   1.1102e-12  |  3.0000e-12 |
| 0.000 | 9.0000e-12 |  5.0000e-12 |   4.9960e-12  |  9.5000e-12 |
| 0.000 | 2.1333e-11 |  1.4000e-11 |   1.3878e-11  |  2.2000e-11 |
| 0.001 | 4.1667e-11 |  3.0000e-11 |   2.9976e-11  |  4.2500e-11 |
| 0.001 | 7.2000e-11 |  5.5000e-11 |   5.4956e-11  |  7.3000e-11 |
| 0.001 | 1.1433e-10 |  9.1000e-11 |   9.1038e-11  |  1.1550e-10 |
| 0.001 | 1.7067e-10 |  1.4000e-10 |   1.4044e-10  |  1.7200e-10 |
| 0.001 | 2.4300e-10 |  2.0400e-10 |   2.0484e-10  |  2.4450e-10 |
| 0.001 | 3.3333e-10 |  2.8500e-10 |   2.8588e-10  |  3.3500e-10 |
| 0.001 | 4.4367e-10 |  3.8500e-10 |   3.8580e-10  |  4.4550e-10 |
| 0.001 | 5.7600e-10 |  5.0600e-10 |   5.0682e-10  |  5.7800e-10 |
| 0.001 | 7.3233e-10 |  6.5000e-10 |   6.5115e-10  |  7.3450e-10 |
| 0.001 | 9.1467e-10 |  8.1900e-10 |   8.2045e-10  |  9.1700e-10 |
| 0.002 | 1.1250e-09 |  1.0150e-09 |   1.0164e-09  |  1.1275e-09 |
| 0.002 | 1.3653e-09 |  1.2400e-09 |   1.2418e-09  |  1.3680e-09 |
| 0.002 | 1.6377e-09 |  1.4960e-09 |   1.4977e-09  |  1.6405e-09 |
| 0.002 | 1.9440e-09 |  1.7850e-09 |   1.7869e-09  |  1.9470e-09 |
| 0.002 | 2.2863e-09 |  2.1090e-09 |   2.1111e-09  |  2.2895e-09 |
| 0.002 | 2.6667e-09 |  2.4700e-09 |   2.4725e-09  |  2.6700e-09 |
| 0.002 | 3.0870e-09 |  2.8700e-09 |   2.8727e-09  |  3.0905e-09 |
| 0.002 | 3.5493e-09 |  3.3110e-09 |   3.3140e-09  |  3.5530e-09 |
| 0.002 | 4.0557e-09 |  3.7950e-09 |   3.7981e-09  |  4.0595e-09 |
| 0.002 | 4.6080e-09 |  4.3240e-09 |   4.3271e-09  |  4.6120e-09 |
| 0.003 | 5.2083e-09 |  4.9000e-09 |   4.9033e-09  |  5.2125e-09 |
| 0.003 | 5.8587e-09 |  5.5250e-09 |   5.5284e-09  |  5.8630e-09 |
| 0.003 | 6.5610e-09 |  6.2010e-09 |   6.2045e-09  |  6.5655e-09 |
| 0.003 | 7.3173e-09 |  6.9300e-09 |   6.9333e-09  |  7.3220e-09 |
| 0.003 | 8.1297e-09 |  7.7140e-09 |   7.7177e-09  |  8.1345e-09 |
| 0.003 | 9.0000e-09 |  8.5550e-09 |   8.5587e-09  |  9.0050e-09 |
| 0.003 | 9.9303e-09 |  9.4550e-09 |   9.4591e-09  |  9.9355e-09 |
| 0.003 | 1.0923e-08 |  1.0416e-08 |   1.0420e-08  |  1.0928e-08 |
| 0.003 | 1.1979e-08 |  1.1440e-08 |   1.1444e-08  |  1.1985e-08 |
| 0.003 | 1.3101e-08 |  1.2529e-08 |   1.2533e-08  |  1.3107e-08 |
| 0.004 | 1.4292e-08 |  1.3685e-08 |   1.3690e-08  |  1.4298e-08 |
| 0.004 | 1.5552e-08 |  1.4910e-08 |   1.4915e-08  |  1.5558e-08 |
| 0.004 | 1.6884e-08 |  1.6206e-08 |   1.6211e-08  |  1.6891e-08 |
| 0.004 | 1.8291e-08 |  1.7575e-08 |   1.7580e-08  |  1.8297e-08 |
| 0.004 | 1.9773e-08 |  1.9019e-08 |   1.9024e-08  |  1.9780e-08 |
| 0.004 | 2.1333e-08 |  2.0540e-08 |   2.0545e-08  |  2.1340e-08 |
| 0.004 | 2.2974e-08 |  2.2140e-08 |   2.2146e-08  |  2.2981e-08 |
| 0.004 | 2.4696e-08 |  2.3821e-08 |   2.3826e-08  |  2.4703e-08 |
| 0.004 | 2.6502e-08 |  2.5585e-08 |   2.5591e-08  |  2.6510e-08 |
| 0.004 | 2.8395e-08 |  2.7434e-08 |   2.7440e-08  |  2.8402e-08 |
| 0.005 | 3.0375e-08 |  2.9370e-08 |   2.9376e-08  |  3.0383e-08 |
| 0.005 | 3.2445e-08 |  3.1395e-08 |   3.1401e-08  |  3.2453e-08 |
| 0.005 | 3.4608e-08 |  3.3511e-08 |   3.3517e-08  |  3.4616e-08 |
| 0.005 | 3.6864e-08 |  3.5720e-08 |   3.5726e-08  |  3.6872e-08 |
| 0.005 | 3.9216e-08 |  3.8024e-08 |   3.8031e-08  |  3.9225e-08 |
| 0.005 | 4.1667e-08 |  4.0425e-08 |   4.0432e-08  |  4.1675e-08 |
| 0.005 | 4.4217e-08 |  4.2925e-08 |   4.2932e-08  |  4.4226e-08 |
| 0.005 | 4.6869e-08 |  4.5526e-08 |   4.5534e-08  |  4.6878e-08 |
| 0.005 | 4.9626e-08 |  4.8230e-08 |   4.8238e-08  |  4.9635e-08 |
| 0.005 | 5.2488e-08 |  5.1039e-08 |   5.1046e-08  |  5.2497e-08 |
| 0.006 | 5.5458e-08 |  5.3955e-08 |   5.3962e-08  |  5.5468e-08 |
| 0.006 | 5.8539e-08 |  5.6980e-08 |   5.6988e-08  |  5.8548e-08 |
| 0.006 | 6.1731e-08 |  6.0116e-08 |   6.0124e-08  |  6.1741e-08 |
| 0.006 | 6.5037e-08 |  6.3365e-08 |   6.3373e-08  |  6.5047e-08 |
| 0.006 | 6.8460e-08 |  6.6729e-08 |   6.6737e-08  |  6.8470e-08 |
| 0.006 | 7.2000e-08 |  7.0210e-08 |   7.0218e-08  |  7.2010e-08 |
| 0.006 | 7.5660e-08 |  7.3810e-08 |   7.3818e-08  |  7.5671e-08 |
| 0.006 | 7.9443e-08 |  7.7531e-08 |   7.7539e-08  |  7.9453e-08 |
| 0.006 | 8.3349e-08 |  8.1375e-08 |   8.1383e-08  |  8.3360e-08 |
| 0.006 | 8.7381e-08 |  8.5344e-08 |   8.5352e-08  |  8.7392e-08 |
| 0.007 | 9.1542e-08 |  8.9440e-08 |   8.9448e-08  |  9.1553e-08 |
| 0.007 | 9.5832e-08 |  9.3665e-08 |   9.3673e-08  |  9.5843e-08 |
| 0.007 | 1.0025e-07 |  9.8021e-08 |   9.8029e-08  |  1.0027e-07 |
| 0.007 | 1.0481e-07 |  1.0251e-07 |   1.0252e-07  |  1.0482e-07 |
| 0.007 | 1.0950e-07 |  1.0713e-07 |   1.0714e-07  |  1.0951e-07 |
| 0.007 | 1.1433e-07 |  1.1190e-07 |   1.1190e-07  |  1.1435e-07 |
| 0.007 | 1.1930e-07 |  1.1680e-07 |   1.1680e-07  |  1.1932e-07 |
| 0.007 | 1.2442e-07 |  1.2184e-07 |   1.2184e-07  |  1.2443e-07 |
| 0.007 | 1.2967e-07 |  1.2702e-07 |   1.2703e-07  |  1.2968e-07 |
| 0.007 | 1.3507e-07 |  1.3235e-07 |   1.3236e-07  |  1.3509e-07 |
| 0.008 | 1.4063e-07 |  1.3783e-07 |   1.3783e-07  |  1.4064e-07 |
| 0.008 | 1.4633e-07 |  1.4345e-07 |   1.4346e-07  |  1.4634e-07 |
| 0.008 | 1.5218e-07 |  1.4923e-07 |   1.4924e-07  |  1.5219e-07 |
| 0.008 | 1.5818e-07 |  1.5516e-07 |   1.5516e-07  |  1.5820e-07 |
| 0.008 | 1.6435e-07 |  1.6124e-07 |   1.6125e-07  |  1.6436e-07 |
| 0.008 | 1.7067e-07 |  1.6748e-07 |   1.6749e-07  |  1.7068e-07 |
| 0.008 | 1.7715e-07 |  1.7388e-07 |   1.7389e-07  |  1.7716e-07 |
| 0.008 | 1.8379e-07 |  1.8044e-07 |   1.8045e-07  |  1.8380e-07 |
| 0.008 | 1.9060e-07 |  1.8717e-07 |   1.8717e-07  |  1.9061e-07 |
| 0.008 | 1.9757e-07 |  1.9405e-07 |   1.9406e-07  |  1.9758e-07 |
| 0.009 | 2.0471e-07 |  2.0111e-07 |   2.0112e-07  |  2.0472e-07 |
| 0.009 | 2.1202e-07 |  2.0834e-07 |   2.0834e-07  |  2.1203e-07 |
| 0.009 | 2.1950e-07 |  2.1573e-07 |   2.1574e-07  |  2.1952e-07 |
| 0.009 | 2.2716e-07 |  2.2330e-07 |   2.2331e-07  |  2.2717e-07 |
| 0.009 | 2.3499e-07 |  2.3104e-07 |   2.3105e-07  |  2.3500e-07 |
| 0.009 | 2.4300e-07 |  2.3897e-07 |   2.3897e-07  |  2.4302e-07 |
| 0.009 | 2.5119e-07 |  2.4707e-07 |   2.4708e-07  |  2.5121e-07 |
| 0.009 | 2.5956e-07 |  2.5535e-07 |   2.5536e-07  |  2.5958e-07 |
| 0.009 | 2.6812e-07 |  2.6381e-07 |   2.6382e-07  |  2.6813e-07 |
| 0.009 | 2.7686e-07 |  2.7246e-07 |   2.7247e-07  |  2.7688e-07 |
| 0.009 | 2.8579e-07 |  2.8130e-07 |   2.8131e-07  |  2.8581e-07 |
| 0.010 | 2.9491e-07 |  2.9032e-07 |   2.9033e-07  |  2.9493e-07 |
| 0.010 | 3.0422e-07 |  2.9954e-07 |   2.9955e-07  |  3.0424e-07 |
| 0.010 | 3.1373e-07 |  3.0895e-07 |   3.0896e-07  |  3.1375e-07 |
| 0.010 | 3.2343e-07 |  3.1855e-07 |   3.1856e-07  |  3.2345e-07 |
| 0.010 | 3.3333e-07 |  3.2835e-07 |   3.2836e-07  |  3.3335e-07 |
| 0.010 | 3.4343e-07 |  3.3835e-07 |   3.3836e-07  |  3.4345e-07 |
| 0.010 | 3.5374e-07 |  3.4855e-07 |   3.4856e-07  |  3.5375e-07 |
| 0.010 | 3.6424e-07 |  3.5896e-07 |   3.5897e-07  |  3.6426e-07 |
| 0.010 | 3.7495e-07 |  3.6956e-07 |   3.6958e-07  |  3.7497e-07 |
| 0.011 | 3.8588e-07 |  3.8038e-07 |   3.8039e-07  |  3.8589e-07 |
| 0.011 | 3.9701e-07 |  3.9141e-07 |   3.9142e-07  |  3.9702e-07 |
| 0.011 | 4.0835e-07 |  4.0264e-07 |   4.0265e-07  |  4.0837e-07 |
| 0.011 | 4.1990e-07 |  4.1409e-07 |   4.1410e-07  |  4.1992e-07 |
| 0.011 | 4.3168e-07 |  4.2575e-07 |   4.2577e-07  |  4.3169e-07 |
| 0.011 | 4.4367e-07 |  4.3764e-07 |   4.3765e-07  |  4.4369e-07 |
| 0.011 | 4.5588e-07 |  4.4974e-07 |   4.4975e-07  |  4.5590e-07 |
| 0.011 | 4.6831e-07 |  4.6206e-07 |   4.6207e-07  |  4.6833e-07 |
| 0.011 | 4.8097e-07 |  4.7460e-07 |   4.7461e-07  |  4.8098e-07 |
| 0.011 | 4.9385e-07 |  4.8737e-07 |   4.8738e-07  |  4.9387e-07 |
| 0.011 | 5.0696e-07 |  5.0037e-07 |   5.0038e-07  |  5.0698e-07 |
| 0.012 | 5.2030e-07 |  5.1359e-07 |   5.1360e-07  |  5.2032e-07 |
| 0.012 | 5.3387e-07 |  5.2705e-07 |   5.2706e-07  |  5.3389e-07 |
| 0.012 | 5.4768e-07 |  5.4074e-07 |   5.4075e-07  |  5.4770e-07 |
| 0.012 | 5.6172e-07 |  5.5466e-07 |   5.5467e-07  |  5.6174e-07 |
| 0.012 | 5.7600e-07 |  5.6882e-07 |   5.6883e-07  |  5.7602e-07 |
| 0.012 | 5.9052e-07 |  5.8322e-07 |   5.8323e-07  |  5.9054e-07 |
| 0.012 | 6.0528e-07 |  5.9786e-07 |   5.9788e-07  |  6.0530e-07 |
| 0.012 | 6.2029e-07 |  6.1275e-07 |   6.1276e-07  |  6.2031e-07 |
| 0.012 | 6.3554e-07 |  6.2787e-07 |   6.2789e-07  |  6.3556e-07 |
| 0.013 | 6.5104e-07 |  6.4325e-07 |   6.4326e-07  |  6.5106e-07 |
| 0.013 | 6.6679e-07 |  6.5888e-07 |   6.5889e-07  |  6.6681e-07 |
| 0.013 | 6.8279e-07 |  6.7475e-07 |   6.7477e-07  |  6.8282e-07 |
| 0.013 | 6.9905e-07 |  6.9088e-07 |   6.9090e-07  |  6.9907e-07 |
| 0.013 | 7.1556e-07 |  7.0726e-07 |   7.0728e-07  |  7.1558e-07 |
| 0.013 | 7.3233e-07 |  7.2391e-07 |   7.2392e-07  |  7.3236e-07 |
| 0.013 | 7.4936e-07 |  7.4081e-07 |   7.4082e-07  |  7.4939e-07 |
| 0.013 | 7.6666e-07 |  7.5797e-07 |   7.5798e-07  |  7.6668e-07 |
| 0.013 | 7.8421e-07 |  7.7539e-07 |   7.7541e-07  |  7.8423e-07 |
| 0.013 | 8.0203e-07 |  7.9308e-07 |   7.9310e-07  |  8.0206e-07 |
| 0.013 | 8.2013e-07 |  8.1104e-07 |   8.1105e-07  |  8.2015e-07 |
| 0.014 | 8.3849e-07 |  8.2926e-07 |   8.2928e-07  |  8.3851e-07 |
| 0.014 | 8.5712e-07 |  8.4776e-07 |   8.4777e-07  |  8.5714e-07 |
| 0.014 | 8.7602e-07 |  8.6653e-07 |   8.6654e-07  |  8.7605e-07 |
| 0.014 | 8.9521e-07 |  8.8557e-07 |   8.8559e-07  |  8.9523e-07 |
| 0.014 | 9.1467e-07 |  9.0489e-07 |   9.0491e-07  |  9.1469e-07 |
| 0.014 | 9.3441e-07 |  9.2449e-07 |   9.2451e-07  |  9.3443e-07 |
| 0.014 | 9.5443e-07 |  9.4437e-07 |   9.4439e-07  |  9.5445e-07 |
| 0.014 | 9.7474e-07 |  9.6454e-07 |   9.6455e-07  |  9.7476e-07 |
| 0.014 | 9.9533e-07 |  9.8498e-07 |   9.8500e-07  |  9.9535e-07 |
| 0.015 | 1.0162e-06 |  1.0057e-06 |   1.0057e-06  |  1.0162e-06 |
| 0.015 | 1.0374e-06 |  1.0267e-06 |   1.0268e-06  |  1.0374e-06 |
| 0.015 | 1.0588e-06 |  1.0481e-06 |   1.0481e-06  |  1.0589e-06 |
